tic_id,hostname,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_teff,st_tefferr1,st_tefferr2,sy_dist,pl_letter,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassprov,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,tran_flag,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2
"TIC 158394479","Kepler-334",1.068000,0.194000,-0.194000,1.022000,0.023500,-0.023500,5828.00,100.00,-100.00,426.59000000,"d",25.09849000000,0.00014200000,-0.00014200000,1.41000000,0.26000000,-0.26000000,2.57000000,,,"M-R relationship",88.88000,,,0.000000,,,1,2454978.56945000,0.00345000,-0.00345000
"TIC 272489533","Kepler-251",0.890000,0.155000,-0.155000,0.891000,0.019000,-0.027000,5526.00,100.00,-100.00,924.62500000,"d",30.13300100000,0.00016100000,-0.00016100000,2.77000000,0.49000000,-0.49000000,8.10000000,,,"M-R relationship",88.21000,,,0.000000,,,1,2455023.38322000,0.00301000,-0.00301000
"TIC 158269049","Kepler-729",0.910000,0.107000,-0.063000,0.940000,0.040000,-0.056000,5633.00,71.02,-56.34,1921.15000000,"b",3.16635371400,0.00000242000,-0.00000242000,3.58000000,0.42000000,-0.25000000,12.50000000,,,"M-R relationship",89.76000,,,0.000000,,,1,2455003.96587300,0.00060200,-0.00060200
"TIC 121988890","Kepler-687",0.730000,0.029000,-0.038000,0.770000,0.036000,-0.039000,4841.00,93.00,-63.99,633.66000000,"b",20.50586978000,0.00002828000,-0.00002828000,3.52000000,0.16000000,-0.20000000,12.20000000,,,"M-R relationship",89.62000,,,0.000000,,,1,2455014.43474000,0.00110000,-0.00110000
"TIC 271964647","Kepler-119",0.839000,0.319000,-0.319000,0.918000,0.034000,-0.034000,5595.00,200.00,-200.00,701.99600000,"b",2.42208200000,0.00000100000,-0.00000100000,3.60000000,1.37000000,-1.37000000,12.60000000,,,"M-R relationship",89.56000,,,0.000000,,,1,2454965.93928000,0.00019000,-0.00019000
"TIC 138960099","Kepler-1115",1.730000,0.289000,-0.203000,1.600000,0.096000,-0.100000,8480.00,295.98,-217.88,983.24500000,"b",23.55407250000,0.00013560000,-0.00013560000,1.70000000,0.29000000,-0.20000000,3.53000000,,,"M-R relationship",88.34000,0.11000,-0.11000,0.000000,,,1,2454977.21245000,0.00475000,-0.00475000
"TIC 138568416","Kepler-1073",1.000000,0.212000,-0.109000,1.000000,0.095000,-0.066000,5792.00,252.91,-186.16,809.89700000,"b",8.67888593000,0.00002409000,-0.00002409000,2.30000000,0.49000000,-0.25000000,5.90000000,,,"M-R relationship",89.38000,,,0.000000,,,1,2454966.03761000,0.00223000,-0.00223000
"TIC 422922274","HD 16175",1.720000,0.030000,-0.030000,1.630000,0.140000,-0.140000,5981.00,17.00,-17.00,59.85900000,"b",990.00000000000,20.00000000000,-20.00000000000,12.80000000,,,1875.18760130,572.09113260,-317.82840700,"Mass",59.00000,20.00000,-19.00000,0.600000,0.110000,-0.110000,0,,,
"TIC 137150544","Kepler-405",0.893000,0.425000,-0.425000,0.873000,0.026000,-0.021000,5818.00,250.00,-250.00,1065.08000000,"b",10.61383900000,0.00011100000,-0.00011100000,2.08000000,0.99000000,-0.99000000,4.98000000,,,"M-R relationship",89.94000,,,0.000000,,,1,2455196.73676000,0.00454000,-0.00454000
"TIC 158488181","KIC 10001893",0.180000,0.104000,-0.104000,0.470000,0.030000,-0.030000,27500.00,200.00,-500.00,1672.94000000,"c",0.32528000000,,,,,,,,,"Msini",,,,,,,0,,,
