tid,toipfx,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_dist,toi,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2
50365310,"1000",2.1698600,0.0725729,-0.0725729,10249.0000000,264.7000000,-264.7000000,485.7350000,"1000.01",2.1713484,0.0002637,-0.0002637,5.8181633,1.9105465,-1.9105465,2459229.6300460,0.001657,-0.001657
88863718,"1001",2.0100000,0.0900000,-0.0900000,7070.0000000,126.4000000,-126.4000000,295.8620000,"1001.01",1.9316462,0.0000053,-0.0000053,11.2154000,2.6242000,-2.6242000,2459987.9488730,0.001916,-0.001916
124709665,"1002",5.7300000,,,8924.0000000,124.0000000,-124.0000000,943.1090000,"1002.01",1.8675574,0.0000030,-0.0000030,23.7529000,,,2459224.6878020,0.000625,-0.000625
106997505,"1003",,,,5388.5000000,567.0000000,-567.0000000,7728.1700000,"1003.01",2.7432300,0.0010800,-0.0010800,,,,2458493.3957000,0.005350,-0.005350
238597883,"1004",2.1500000,0.0600000,-0.0600000,9219.0000000,171.1000000,-171.1000000,356.4370000,"1004.01",3.5730141,0.0000128,-0.0000128,11.3113000,3.2471400,-3.2471400,2459987.0472620,0.003748,-0.003748
169904935,"1005",1.0900000,0.0700000,-0.0700000,5613.0000000,179.9000000,-179.9000000,100.7110000,"1005.01",4.5505945,0.0000031,-0.0000031,7.1084100,0.4746110,-0.4746110,2459985.1568550,0.000581,-0.000581
156115721,"1006",1.5342900,1.4887000,-1.4887000,6616.0000000,200.0000000,-200.0000000,,"1006.01",2.5047918,0.0004076,-0.0004076,8.6950898,8.4387660,-8.4387660,2459229.9845790,0.002159,-0.002159
65212867,"1007",2.7000000,0.1300000,-0.1300000,6596.0000000,139.2000000,-139.2000000,283.2910000,"1007.01",6.9989206,0.0000137,-0.0000137,14.7752000,0.7647050,-0.7647050,2459247.9306950,0.001300,-0.001300
440801822,"1008",1.5700000,,,6858.5000000,584.6000000,-584.6000000,144.2970000,"1008.01",2.0483755,0.0000055,-0.0000055,3.1962100,,,2460258.2361220,0.002805,-0.002805
107782586,"1009",,,,8868.7000000,809.8000000,-809.8000000,866.1470000,"1009.01",1.9600277,0.0000025,-0.0000025,,,,2459229.2309240,0.000389,-0.000389
231663901,"101",0.8907740,0.0438467,-0.0438467,5600.0000000,,,375.3100000,"101.01",1.4303699,0.0000008,-0.0000008,13.1874503,0.6576402,-0.6576402,2458326.0091170,0.000132,-0.000132
139853601,"1010",1.0000000,,,9438.0000000,782.0000000,-782.0000000,485.1220000,"1010.01",0.6808702,0.0000390,-0.0000390,5.9115908,1.5360428,-1.5360428,2459228.8781010,0.000791,-0.000791
114018671,"1011",0.9400000,0.0500000,-0.0500000,5413.7000000,132.8000000,-132.8000000,52.6200000,"1011.01",2.4704981,0.0000073,-0.0000073,1.4465600,0.1075030,-0.1075030,2459984.6277680,0.002619,-0.002619
427508467,"1012",2.7200000,0.1300000,-0.1300000,8928.0000000,128.7000000,-128.7000000,295.9590000,"1012.01",0.8841820,0.0000007,-0.0000007,24.8132000,5.4159900,-5.4159900,2459252.5095950,0.000369,-0.000369
97700520,"1013",,,,8868.7000000,809.8000000,-809.8000000,510.2950000,"1013.01",5.4255548,0.0002073,-0.0002073,,,,2459232.2483220,0.000512,-0.000512
96246348,"1014",,,,9307.0000000,938.9000000,-938.9000000,224.6720000,"1014.01",1.4095184,0.0000023,-0.0000023,,,,2459985.6570410,0.000309,-0.000309
155044736,"1015",6.7996101,,,4897.0000000,122.0000000,-122.0000000,906.4960000,"1015.01",1.3730466,0.0000067,-0.0000067,42.1479417,46.4890400,-46.4890400,2459963.6100650,0.004221,-0.004221
175310067,"1016",1.5364100,0.0479799,-0.0479799,7601.0000000,135.8000000,-135.8000000,368.6460000,"1016.01",12.6889415,0.0095088,-0.0095088,14.0608342,15.2415910,-15.2415910,2459238.8311380,0.006715,-0.006715
182943944,"1017",1.6100000,0.0700000,-0.0700000,6995.2000000,157.0000000,-157.0000000,406.9970000,"1017.01",1.1042200,0.0001300,-0.0001300,21.0448000,5.2201200,-5.2201200,2458518.9653600,0.001370,-0.001370
291555748,"1018",2.0000000,0.0900000,-0.0900000,5889.0000000,124.3000000,-124.3000000,360.5410000,"1018.01",4.9591200,0.0001600,-0.0001600,22.9123000,3.2805500,-3.2805500,2458492.7807800,0.000730,-0.000730
341420329,"1019",1.5620300,0.0481257,-0.0481257,7645.0000000,134.4000000,-134.4000000,399.5440000,"1019.01",5.2341008,0.0000012,-0.0000012,24.2931408,0.7497171,-0.7497171,2459232.4468640,0.000120,-0.000120
149603524,"102",1.2100000,0.0500000,-0.0500000,6280.0000000,,,175.6310000,"102.01",4.4119378,0.0000008,-0.0000008,15.4706000,0.6919630,-0.6919630,2460187.9165710,0.000126,-0.000126
140706664,"1020",,,,8734.2000000,283.6000000,-283.6000000,906.8270000,"1020.01",3.2889200,0.0006600,-0.0006600,,,,2458521.2910800,0.002410,-0.002410
143994283,"1021",1.2200000,0.0500000,-0.0500000,6022.6000000,133.5000000,-133.5000000,235.9740000,"1021.01",1.9087900,0.0003500,-0.0003500,3.3468800,0.2177490,-0.2177490,2458492.9042900,0.004260,-0.004260
47384844,"1022",1.4100000,0.0500000,-0.0500000,6084.0000000,111.0000000,-111.0000000,120.6660000,"1022.01",3.0957400,0.0067700,-0.0067700,3.4262000,0.7787130,-0.7787130,2458547.4480000,0.008340,-0.008340
238374636,"1023",2.9900000,0.1500000,-0.1500000,5050.8000000,86.8000000,-86.8000000,316.3980000,"1023.01",1.3214483,0.0000231,-0.0000231,21.8839000,4.0147500,-4.0147500,2459303.3039690,0.003015,-0.003015
141482386,"1024",7.6100000,,,4709.0000000,122.0000000,-122.0000000,692.2660000,"1024.01",18.0157000,0.0001500,-0.0001500,21.6440000,,,2458339.7227600,0.005920,-0.005920
297967252,"1025",,,,8598.7000000,1245.7000000,-1245.7000000,129.8380000,"1025.01",9.6837921,0.0000009,-0.0000009,,,,2458545.1498040,0.000092,-0.000092
388624270,"1026",0.8538980,0.0413895,-0.0413895,5690.0000000,129.0000000,-129.0000000,105.6770000,"1026.01",14.2628757,0.0000385,-0.0000385,2.4765813,0.1510812,-0.1510812,2460720.8076740,0.003630,-0.003630
20318757,"1027",0.6800000,0.0600000,-0.0600000,4272.0000000,122.7000000,-122.7000000,56.3449000,"1027.01",3.2834565,0.0000046,-0.0000046,2.8764800,0.3141770,-0.3141770,2460037.8690500,0.001406,-0.001406
20318757,"1027",0.6800000,0.0600000,-0.0600000,4272.0000000,122.7000000,-122.7000000,56.3449000,"1027.02",11.0287500,0.0000354,-0.0000354,2.7658600,0.2689270,-0.2689270,2460032.5332500,0.002913,-0.002913
20318757,"1027",0.6800000,0.0600000,-0.0600000,4272.0000000,122.7000000,-122.7000000,56.3449000,"1027.03",5.0113292,0.0000120,-0.0000120,2.5231400,0.3027980,-0.3027980,2460032.5730400,0.002567,-0.002567
447283466,"1028",0.6800000,0.0500000,-0.0500000,4634.0000000,120.9000000,-120.9000000,23.7748000,"1028.01",1.0160600,0.0003400,-0.0003400,1.2070400,0.0989898,-0.0989898,2458544.4806600,0.004120,-0.004120
374908020,"1029",,,,,,,,"1029.01",36.2221400,0.0004600,-0.0004600,,,,2458365.8931300,0.000960,-0.000960
336732616,"103",1.4000000,,,6351.0000000,,,411.2110000,"103.01",3.5478540,0.0001490,-0.0001490,14.5818410,0.1964350,-0.1964350,2458327.2525600,0.000586,-0.000586
464296022,"1030",1.0700000,0.0300000,-0.0300000,4807.6000000,60.0000000,-60.0000000,78.4127300,"1030.01",12.1246519,0.0000103,-0.0000103,17.6729000,2.5968800,-2.5968800,2460054.7839370,0.000628,-0.000628
304021498,"1031",1.9200000,0.0800000,-0.0800000,6415.4000000,103.2000000,-103.2000000,270.7710000,"1031.01",5.6526230,0.0000254,-0.0000254,8.9435400,1.1398800,-1.1398800,2459304.8379390,0.002852,-0.002852
16288184,"1049",1.2714601,0.0635578,-0.0635578,6599.0000000,200.0000000,-200.0000000,314.9950000,"1049.01",2.1805277,0.0000027,-0.0000027,16.8088530,0.8821375,-0.8821375,2459363.8213930,0.000699,-0.000699
144065872,"105",1.2382400,0.0596985,-0.0596985,5630.0000000,,,137.5440000,"105.01",2.1846669,0.0000005,-0.0000005,13.7028527,0.6619751,-0.6619751,2459084.5850100,0.000110,-0.000110
66818296,"1050",1.5700000,0.0900000,-0.0900000,6650.0000000,,,405.9080000,"1050.01",3.7354838,0.0000021,-0.0000021,21.2315000,1.1957900,-1.1957900,2459355.5456300,0.000257,-0.000257
